"","coef","exp(coef)","SE","Robust SE","z stat","p value"
"Non-tenure Track (NTT)",1.02,2.774,0.143,0.14,7.289,0
"No Tenure System",1.21,3.352,0.128,0.125,9.715,0
"Time between Degree and Job",-0.018,0.982,0.017,0.018,-1.03,0.303
"Admin/Other",0.501,1.651,0.106,0.102,4.898,0
"Researcher",0.444,1.559,0.091,0.087,5.087,0
"Workplace Training",0.027,1.027,0.059,0.059,0.455,0.649
"Log Salary",-0.074,0.928,0.037,0.035,-2.134,0.033
"Private Control",-0.054,0.948,0.087,0.088,-0.612,0.541
"Two-year/Other",-0.184,0.832,0.234,0.238,-0.773,0.439
"Medical",0.131,1.14,0.097,0.097,1.344,0.179
"Research Institute",0.057,1.059,0.107,0.107,0.537,0.591
"PhD Research II",0.14,1.15,0.097,0.097,1.442,0.149
"PhD Doctorate Institution",0.1,1.105,0.098,0.098,1.019,0.308
"PhD Other",0.213,1.237,0.207,0.209,1.016,0.31
"PhD Medical/Health",0.07,1.073,0.141,0.142,0.495,0.62
"Age",-0.004,0.996,0.005,0.005,-0.813,0.416
"Female",-0.085,0.918,0.06,0.06,-1.434,0.152
"Minority",0.029,1.03,0.077,0.077,0.381,0.703
"Married",-0.092,0.912,0.07,0.07,-1.308,0.191
"Children",-0.008,0.992,0.071,0.071,-0.114,0.909
"Citizen",0.057,1.059,0.069,0.069,0.833,0.405
"Time x NTT",-0.195,0.823,0.117,0.114,-1.712,0.087
"Time x No Tenure System",-0.345,0.708,0.1,0.098,-3.504,0
"Private x Two-Year",1.089,2.972,0.476,0.482,2.26,0.024
"Private x Medical",0.165,1.179,0.137,0.138,1.193,0.233
"Private x Research Institute",0.301,1.351,0.17,0.17,1.771,0.077
